IdUtilizador,Nome,Email,Password,DataNascimento,DataCriacao,Geolocalizacao
83,Sandra Garza,garza9@sapo.pt,vmYgi3KSlT,27/3/2000,11/6/2024,-9.35, -180.0
84,Tanaka Sakura,tanakasakur903@gmail.com,fJvzZpgD0Q,2/8/1999,25/9/2022,6,180.0
85,Tong Wai Yee,tongwy@gmail.com,WQUesQ4ymi,22/7/1990,16/9/2023,-90,180
86,Kaneko Sara,kaneksara7@gmail.com,Zw3ecacOWd,27/2/1973,15/12/2022,90, 		+120.8200
87,Fu Anqi,fuanqi@outlook.com,vz4Ihnkghf,19/4/1985,28/9/2022,2,+180.0
88,Zou Lan,zou704@gmail.com,yPNZ8x5cDH,27/8/1974,16/2/2024,+90.0000,  +136.281
89,Tang Sau Man,tsa@outlook.com,q5wX4PyxRs,11/5/2000,12/7/2023,-90,			180.0
90,Ichikawa Aoi,ichikawaaoi@gmail.com,wSto78H881,16/4/2000,9/2/2025,90, -180.0
91,Choi Kwok Wing,kwokwingc1105@icloud.com,fL9gsfWyyD,26/8/1992,1/9/2025,-4,  	+137.1
92,Nakayama Airi,airinak@outlook.com,HqwPtex8aZ,28/3/1981,7/1/2024,+0.377, 		-180
93,Ren Shihan,rsh7@outlook.com,b4OqX5iQkK,25/3/1992,16/12/2022,90,+150
94,Wendy Gibson,wendygibson@hotmail.com,7MPj2RsklP,26/1/1970,18/4/2022,4.82,	180
95,Miyazaki Miu,miyazaki4@hotmail.com,jYxskXLGY0,25/12/1991,18/12/2022,90,180.00
96,Jacob Chavez,chaj4@hotmail.com,6rXqFl4Hdy,24/8/1988,29/12/2024,-90,	 180.0
97,Wong Hok Yau,why@icloud.com,HgZxhjz5SU,26/2/1990,23/12/2025,8.292,180
98,Shen Lan,lan66@outlook.com,WPD9Nzw5yz,23/6/1977,17/3/2023,+90,   63.9103
99,Sakamoto Akina,as811@icloud.com,EYeMVe70wN,17/12/2004,8/7/2022,-0.8549,	  180.0
100,Tse Sai Wing,saitse@hotmail.com,FPjBU962wG,1/4/2002,22/6/2022,+90.0,	 	180
101,Wang Ziyi,ziyiwang@hotmail.com,vkLDkxy8hB,9/11/1994,11/10/2024,+64.40,180
102,Kwan Wai Han,kwan8@outlook.com,B4SzEUtTNw,23/7/1977,29/5/2023,43.7, -126
103,Mok Siu Wai,mok1975@icloud.com,gTYXrSP3op,13/3/1985,14/2/2024,47,  6
104,Gong Anqi,anqgong@icloud.com,NphgNkgF99,18/1/1982,15/6/2025,49,  4
105,Mui Sum Wing,muisw7@outlook.com,Mt7tGoo9ys,12/9/1996,22/1/2025,+90.0,155.4
106,Fred Thomas,fredthomas@gmail.com,SyCojR4ZTv,23/8/1993,25/12/2022,90,	+124.456
107,Shi Lu,shi310@gmail.com,Z8cEJBL8Lk,9/11/1989,7/11/2024,-90.000,	 	180
108,Chin Lai Yan,chinlaiyan714@outlook.com,kr5zdCUuiJ,17/7/1978,19/7/2023,90.00,+180.0
109,Mak Tsz Hin,thmak3@gmail.com,5p1UZOuO6w,4/6/1996,4/8/2024,90,+180
110,Catherine Meyer,meycat530@hotmail.com,enq3HxgID7,27/10/1993,10/7/2025,89.353,	+180.000
111,Lisa Rice,ricelisa2019@icloud.com,6BF4UiFLhb,7/8/1994,16/11/2025,6, 	27
112,Hara Nanami,hara1@hotmail.com,vJNxgDV2Bq,16/2/1990,22/3/2024,+90.00,	180
113,Wang Jialun,wangjial78@hotmail.com,vzJU3tMWsX,3/12/1988,14/2/2024,-90,-180.00
114,Benjamin Carter,benjaminc1207@outlook.com,CZdyBtZGCZ,29/1/1994,29/12/2025,79,	 180.000
115,Yan Xiuying,yanxiuying1984@sapo.pt,lzKrdwmkIn,6/9/1987,9/12/2023,+8, 100
116,Hung Hui Mei,huihung@mail.com,C0gp8QCkIl,13/6/2005,29/1/2022,+62, 	 3.842
117,Yuen Chiu Wai,chiuwaiyu@gmail.com,OlDWc5uNxF,11/3/1971,7/9/2022,90.000, 100
118,Chiang Cho Yee,cyc2002@sapo.pt,ZfW2Aroq2R,3/8/2000,20/5/2022,0,180
119,Hung Wing Fat,wihung6@outlook.com,nbSslVeuZV,13/8/1979,8/10/2022,-90,		180.000
120,Monica Wallace,moniw60@sapo.pt,ududXaCf3x,29/1/1977,17/8/2023,+90,	  5.9816
121,Shen Ziyi,ziyis@hotmail.com,0YM7UIOIwu,5/9/1998,25/11/2023,-90,180
122,Jin Zitao,jin401@gmail.com,b43ceAGh8s,19/8/1990,29/12/2025,90.0000,	 -118.2372
123,Annie Garcia,garciaannie8@gmail.com,m4huBbronn,20/9/2003,30/6/2024,-6.67,174
124,Zhou Yuning,yunzhou522@hotmail.com,klh3EKFao2,25/11/1976,20/7/2025,+65.940,-174
125,Cheng Yunxi,cheng1@yahoo.com,jcfLYLrakS,19/9/1990,11/12/2025,90.0000,  140
126,Ng On Na,ngonna901@hotmail.com,efoowMK5Pb,19/9/2003,10/7/2022,6, 180
127,Charlotte Diaz,chardi@hotmail.com,nV2jJZx0MK,6/10/2004,19/9/2024,-7,	-180.000
128,Sato Eita,satoeit@outlook.com,UJVVCONJbD,3/1/1990,9/2/2022,-90.0, 180.0
129,Ishida Aoshi,iao@gmail.com,ncc7ZrkXpa,22/4/1977,28/5/2022,90,+8.9091
130,Cheung Fu Shing,fsch@hotmail.com,0Z5njGmPpT,23/12/1971,14/3/2022,5,	  180.0000
131,Nakayama Sara,sarnakayama@gmail.com,p0FLD36BJh,6/10/1985,5/2/2022,0.172,	 -180.0
132,Sato Momoka,momosato45@yahoo.com,2dQAnFy4Y9,17/4/1970,17/1/2024,90.00,	180
133,Mildred Perez,mildredperez@hotmail.com,QejLl0eEbd,2/11/1982,14/2/2023,+2.5,180
134,Yeung Sze Yu,yeungszeyu@gmail.com,8wpUwxqDWG,24/6/1996,10/5/2024,+5,+159
135,Chic Wai San,waisanchic@mail.com,Td7mf5SnwA,12/7/2002,30/10/2022,8,75.2
136,Hara Airi,hara05@yahoo.com,RrMYudS6XL,17/6/1987,13/4/2025,+4,180
137,Man Chiu Wai,manchiuwai@gmail.com,hClqhrQU8P,6/9/1988,1/11/2024,-90.000,-22
138,Ku Tsz Ching,kutc@hotmail.com,HRLDtwkXyA,9/5/2005,16/2/2023,58,	 180
139,Zhong Shihan,sz1@gmail.com,8p8JhdlkBY,24/9/1970,22/5/2023,+90.000,3
140,Matsuda Shino,mshino7@gmail.com,96TMWQM5im,27/3/1971,25/3/2022,+85,  	-180.0
141,Xiong Zhiyuan,xizhiyuan@hotmail.com,36yYcAB3ey,24/7/1983,28/11/2024,+84.32,  	180
142,Yoshida Aoi,yoshida10@gmail.com,YO8FGeIIkH,22/9/2000,3/10/2023,-90.00,			-180
143,Francis Marshall,frm@gmail.com,dE0vN6EIIQ,8/12/1970,10/4/2025,10,2.8425
144,Cui Lu,luc@outlook.com,iuSlyRtIzV,24/11/1987,31/3/2023,+90.0, 	 180
145,Saito Ikki,ikkisaito1@hotmail.com,2FlIy6wRww,8/9/1991,25/3/2024,79, +180
146,Rachel Alexander,rachelale2009@icloud.com,dA7CGKoukY,20/6/1989,29/9/2022,63,		 -112.90
147,Lu Ziyi,zlu@gmail.com,ODJdLbMCGF,25/3/1991,19/11/2024,2.720, 	92
148,Carolyn Bell,carolynbe6@gmail.com,cGAXJRQULn,31/7/1979,8/12/2023,-77,+180
149,Kinoshita Daisuke,daikin1012@gmail.com,2IRnovn5X1,13/5/1972,6/4/2022,90, 		+17
150,Josephine Simmons,simmonsj@hotmail.com,ghcQhVmb4h,18/9/1990,15/3/2022,90.0,+122
151,Tang Ka Man,tangkaman@icloud.com,rpYraMvwDu,6/1/1985,24/8/2023,+90,  	180.000
152,Fong Tsz Hin,thfong10@hotmail.com,QERYsIVqJP,7/8/1990,12/9/2022,+40.7250,   -150
153,Imai Kaito,kaitoi1976@outlook.com,ET9p6t2OlK,11/2/1978,27/7/2024,-90,		-180.0000
154,Crystal Bell,bellcrystal512@hotmail.com,VJPYdxkYAn,23/7/2002,8/12/2022,+90.0,+116
155,Lu Yuning,luyun9@gmail.com,OZ2ngRLKlk,13/10/1993,15/11/2023,60, 	172.2
156,Cheng Tsz Hin,chtszhin@gmail.com,wgXqEtIVxh,17/9/2005,19/8/2024,90,	+126.339
157,Tsang Ka Man,tsang722@outlook.com,2aSxBNuY2c,31/7/1978,14/12/2024,90,	180
158,Miyazaki Eita,meita519@gmail.com,GwrAxEFRWX,27/6/1990,17/2/2022,+48.22, 	 +180
159,Kobayashi Mai,mai4@gmail.com,3pefExPUf2,5/2/1991,11/6/2025,90,180
160,Robin Williams,rwi831@gmail.com,u3IRrPBfWM,30/11/1990,19/8/2024,+69,	180.000
161,Sato Tsubasa,tsubasasa@icloud.com,XjFtTyPRzF,8/5/1981,26/5/2022,-90.0000, -144.434
162,Lai Wai Han,lwh@hotmail.com,uuY72yMmRx,8/9/1982,3/1/2024,32,			-180
163,Kinoshita Ren,rkinoshita229@outlook.com,AXqoNJAp3L,4/5/1986,20/5/2025,2,+180
164,So Sze Yu,so1@gmail.com,htCwvqEM2K,26/1/1981,1/6/2025,-90,+180.000
165,Zeng Xiuying,xiuying1957@icloud.com,rsYNwAhAA9,20/5/1974,15/9/2025,78,		+45.01
166,Okamoto Momoka,okamotomomok@outlook.com,n89lU7eJvT,18/1/1984,17/7/2025,90,7.947
167,Brandon Martinez,mabra1998@hotmail.com,ZcsniEase7,10/4/2002,16/10/2022,90.0,  180
168,Hu Yuning,huy@hotmail.com,MoQ1PMnucW,27/10/1981,2/7/2023,16.092, 36
169,Leonard Meyer,leonard1@gmail.com,p9jTWbk3Qr,12/2/1993,18/10/2024,4,			-180.0
170,Walter Reed,walterr@hotmail.com,zcV9Mgr9AV,15/5/1992,24/12/2023,24.32,	180.0
171,Miyamoto Kenta,miyamotokenta222@gmail.com,sf1cL1XiYO,21/6/2003,15/11/2023,-90.0, 		-180.000
172,Fong Ming Sze,msfo@icloud.com,h5qcOwyail,2/7/1997,28/2/2024,90.0000,3.1377
173,Jose Robinson,joserobinson@icloud.com,pZJGCGZvSx,9/11/1999,29/4/2024,+5, 7.3
174,Kong Jiehong,jiehongko@icloud.com,paPIyplHin,20/3/1990,20/9/2025,90.000, -180
175,Emma Ruiz,ruizemma@hotmail.com,YBsBVxB0Lc,30/1/1977,27/7/2023,+0, 	 4
176,Hara Kazuma,hara527@gmail.com,9T1fzD9VPF,20/7/2002,24/2/2022,-90,180
177,Takagi Airi,takaairi2009@icloud.com,olCHwnsRI1,24/4/1991,11/5/2023,90,	-180.0
178,Ma Wai San,waisanma@gmail.com,wCxIoG4P4v,1/9/1995,2/4/2022,35.2,		 +180.00
179,Ono Yamato,yamato4@gmail.com,qeKbpqfIA5,2/1/1975,27/7/2023,-90, +180.00
180,Yoshida Momoe,yoshida2@icloud.com,D757S3Hcu7,5/3/1981,27/10/2022,0.9210,	+164
181,Alfred Bennett,alfredbennett@outlook.com,zeDc1cCo4y,16/6/2002,25/8/2024,-61.2,-180.000
182,Shimizu Rena,renshimizu517@outlook.com,0ylpMvCzgw,11/12/1986,19/9/2022,5.6890,  -180
183,Kwan Lik Sun,kwan1@gmail.com,f2ovIAgWm1,13/7/1973,20/1/2023,-79.76,	 	+180
184,Jesus Castillo,castillo1@yahoo.com,D0gE1IfCz4,25/6/1982,1/1/2025,90, 	128
185,Charlotte Taylor,charlottetay826@hotmail.com,nkmgUES253,12/6/1970,14/10/2024,5,126
186,Deng Xiaoming,xiaoming6@outlook.com,pJgLGUI6Lg,6/5/1992,16/6/2023,87.0,-180
187,Suzuki Kasumi,kasumisuz@outlook.com,Q4G3LISerO,27/4/1994,7/9/2025,+90,  	180
188,Yamaguchi Seiko,yamaguchise@gmail.com,ZLwtgncFGg,24/12/1984,9/9/2025,-1,+4.961
189,Takeda Momoka,tmomo@hotmail.com,KbAUqIf7aG,19/10/1985,13/2/2022,+65,	 -9
190,William Palmer,palmerwilliam59@icloud.com,tvG7RznooS,29/9/1987,24/6/2022,90.00,   -180
191,Raymond Webb,raymondwebb@gmail.com,CjoO3CULdn,6/3/1978,22/9/2025,-90, 	 180.000
192,Louis Robinson,louisr@mail.com,Y7MYw5jJ4z,7/3/1994,2/3/2022,90, 		-146
193,Cai Lu,lucai@gmail.com,CvpWHmqS0W,5/12/2004,14/1/2025,+6.8587,17.384
194,Sasaki Aoshi,saaoshi9@yahoo.com,Cp3yPxfcdO,13/9/2005,16/8/2025,0,	+180
195,Ono Rin,rinono@mail.com,FiWFDebRof,18/5/1996,2/3/2023,27, 		180
196,Janice Coleman,colemanja@yahoo.com,qrummBDG68,23/7/1978,5/5/2023,90, 61
197,Yu Xiuying,xiuying7@gmail.com,kxxBHjHjmv,5/5/1979,24/4/2025,90, 3
198,Sheh Lik Sun,lss1@gmail.com,XDaI9fVlhx,30/5/1973,17/7/2022,+90,  180.00
199,Chen Anqi,anqi2@outlook.com,aPtBj4ugWR,23/8/1972,22/2/2025,-58.8891,	180
200,Kikuchi Aoi,ka1@gmail.com,HZTK5u0RnZ,3/10/1986,12/8/2022,90.00,			-180.000
201,Lei Zhiyuan,leiz@icloud.com,AWfIATOtWw,16/6/1982,4/3/2024,90.0,180
202,Hao Zitao,hao3@hotmail.com,UVgSu2gAv8,4/10/1972,31/8/2025,+90, +176
203,Charlotte Marshall,charlottemarshall3@mail.com,mkrYUuH2Cc,12/5/1979,24/5/2023,-90.0,		 +151.2
204,Lu Yunxi,yunxi1214@gmail.com,jo1pZgi4X4,17/10/1971,5/8/2024,-90.0,	+83
205,Tang Tin Lok,tltan8@icloud.com,8bV4vlAUeS,30/7/1971,19/2/2022,19.5,		-180.000
206,Zheng Zhiyuan,zhiyuanzheng@hotmail.com,bFj0jCe9YB,14/11/1990,24/3/2022,-18.0447, 33
207,Miyazaki Ayato,miyazakiayato@hotmail.com,bQe1uqqbis,19/10/1981,6/5/2022,+90,50.3
208,Chiang Sum Wing,chiang17@icloud.com,X4KHJgpria,4/2/1983,5/11/2025,+20.836, 	-133.77
209,Hu Lan,hulan@gmail.com,r0sJUAy6vT,13/12/2003,13/10/2023,39.804, 		+143.64
210,Tamura Yuto,ty428@gmail.com,pGAaBi6vT4,23/5/1984,29/6/2024,17,180
211,Lin Jialun,jialunlin@gmail.com,vqlc0lQnyU,27/5/1979,15/9/2023,90.000,+180.0000
212,Jason Sullivan,jason10@hotmail.com,2vSAlxwNAd,26/6/1998,11/8/2023,9, -180
213,Wang Lu,luwang@mail.com,T25xE10VeM,20/7/1989,8/3/2023,+2.2,4.56
214,Sakamoto Hikari,sakamoto6@gmail.com,PAXrb8cm0w,9/6/1989,25/1/2025,+53.6,+180
215,Hsuan Wai Lam,hsuanwailam@gmail.com,D2YqP66J8l,16/2/1992,25/1/2024,+90.0,	 	180.0000
216,Fan Jialun,jialufan@gmail.com,LuEifWo7eO,9/12/1996,28/5/2024,-32,180
217,Fujii Kasumi,fujiikas203@hotmail.com,lWOvtnuEIW,30/5/1986,3/12/2023,39.70,	180.00
218,Ho Kwok Wing,kwokwho@hotmail.com,QIM8yyuS73,2/11/1974,6/2/2024,90.0000,		-180
219,Sakurai Minato,minatsak@gmail.com,MEbXjEEWZr,1/12/1970,27/8/2022,+13, 	162.3690
220,Chiba Ayano,ayano1029@hotmail.com,DvIQF7InL7,2/3/1980,19/9/2024,-74.82,+109
221,Deborah Gardner,gardner521@outlook.com,ZMwevaRSug,7/8/2001,21/1/2024,-0.4883,	 	180.0
222,Brenda Perry,pb6@gmail.com,RPRfmH4j2l,21/2/1972,1/11/2025,-90, -142
223,Tse Yu Ling,yltse@gmail.com,mwq5leZxTs,25/3/1988,20/3/2025,2.79,	 	180
224,Bernard Bryant,bernard7@sapo.pt,PHlb2StgGf,21/12/1971,24/5/2024,90,	 0.6
225,Zhu Lan,lan430@hotmail.com,1rvg8JOtId,18/2/1978,11/6/2024,+90, -180.000
226,Aoki Aoi,aoki9@gmail.com,Vb9h0qseRy,2/1/1991,20/10/2025,+90.000,	+180
227,Koo Fu Shing,koo01@gmail.com,nbDnZOra3j,15/12/1991,26/10/2025,67,-180
228,Han Tak Wah,hantakwah@gmail.com,6iEZrvF7uy,14/10/1994,30/1/2022,-90.0,	133.8
229,Yoshida Aoshi,aoshiyoshi@mail.com,exK7WmF3rN,29/1/1998,5/9/2023,-90.0,122.753
230,Janet Schmidt,js04@outlook.com,Tr4LFjFoxo,16/4/2002,19/4/2023,-0,	  +180.0
231,Lu Xiuying,luxiuyi@gmail.com,RehklvvYMg,21/4/2001,6/12/2025,90.0000,	-180.000
232,Bobby Bryant,bobbybr@gmail.com,k2r281BXye,3/5/1986,23/3/2025,+90.00,		38
233,Tang Lan,lantan@gmail.com,mc0r3ny5Jk,9/2/2002,6/2/2024,90.00, 	 +180
234,Wong Kwok Yin,wongkw05@outlook.com,qQkQuTGRaI,2/1/1991,2/4/2024,-90.00,  -14
235,Nakamura Momoe,nmom@sapo.pt,hFczSysjrG,18/10/1988,23/1/2023,90,	180.00
236,Lu Jiehong,jiehong1@icloud.com,iGT1fQJCnS,3/3/1994,24/1/2023,77,95
237,Shing Ka Fai,kfshing9@hotmail.com,SGFUZp2mul,25/5/1977,11/8/2022,-90.0000,		9.7453
238,Gong Jialun,gongjial312@icloud.com,lxFOzH0fOa,9/9/1974,18/7/2022,4.2,	46.6
239,Mike Collins,mikec@yahoo.com,b2g7t9bknH,19/10/1976,3/6/2024,+90,-180
240,Jerry Torres,jerrytorres@outlook.com,DuFBXzGTjO,5/9/1998,8/6/2023,-9,	180
241,Wei Anqi,weianqi@gmail.com,7VtVWhjttb,25/4/2001,26/9/2022,90.0000,	 -180
242,Inoue Takuya,taki920@outlook.com,0b7Hw3IW6a,15/1/1974,21/5/2024,90,  +180
243,Craig Parker,craigpark2005@sapo.pt,atNL6YpN4p,13/1/1988,25/11/2023,90, 		127.4931
244,Gong Rui,gonrui1217@hotmail.com,8kW4xWbNET,8/11/1972,27/2/2024,33,+180.0
245,Sasaki Tsubasa,sasakits5@gmail.com,QhPRp08SLq,9/7/2005,6/2/2024,3,		-180
246,Ito Akina,itoakina@hotmail.com,7VtI4C2J3o,6/11/1976,31/5/2022,56.7764, 		-180
247,Julie Castro,juliecastro1104@hotmail.com,xTubuBmfOt,31/3/1983,9/6/2022,5,  180
248,Lu Jiehong,luji@hotmail.com,TIyN3kC03e,27/4/1995,10/11/2022,90.0,			-4
249,Feng Zhennan,feng9@gmail.com,dG1InNGlRr,25/10/2002,21/6/2025,-27.7,	 	-100
